1 Mot inconnu : manu_95 [[7:14]] => ====== manu_95 ====== <|> manu_95

9 Mot inconnu : anti-windows [[20:32]] => Sans sombrer dans l'anti-windows primaire je m'efforce de faire connaître Ubuntu autour de moi et d'initier de plus en plus de personnes au monde du logiciel libre. Je contribue également au forum et au wiki. <|> anti-windows
11 Mot inconnu : desktop [[56:63]] => Après 4 ans sous Ubuntu, j'ai finalement basculé mon PC desktop sur la distribution Fedora. Je pourrais donner des tas de raisons justifiant mon choix mes je résumerai en disant que je n'ai pas accroché à la nouvelle interface Unity et que je préférai m'initier à Gnome 3. Le souhait de changer et d'explorer également une nouvelle distribution n'est également pas étranger à ma décision. <|> desktop
11 Confusion possible : “mes” est un déterminant utilisé pour signaler la possession. Pour la conjonction de coordination, écrivez “mais”. [[151:154]] => Après 4 ans sous Ubuntu, j'ai finalement basculé mon PC desktop sur la distribution Fedora. Je pourrais donner des tas de raisons justifiant mon choix mes je résumerai en disant que je n'ai pas accroché à la nouvelle interface Unity et que je préférai m'initier à Gnome 3. Le souhait de changer et d'explorer également une nouvelle distribution n'est également pas étranger à ma décision. <|> mes => suggestions : ['mais']
11 Incohérence : les mots “mes” et “je” ne devraient pas se succéder. [[155:157]] => Après 4 ans sous Ubuntu, j'ai finalement basculé mon PC desktop sur la distribution Fedora. Je pourrais donner des tas de raisons justifiant mon choix mes je résumerai en disant que je n'ai pas accroché à la nouvelle interface Unity et que je préférai m'initier à Gnome 3. Le souhait de changer et d'explorer également une nouvelle distribution n'est également pas étranger à ma décision. <|> je => suggestions : []

13 Mot inconnu : netbook [[37:44]] => Je conserve cependant Ubuntu sur mon netbook et je conseille toujours cette distribution - qui reste excellente - aux nouveaux arrivants dans le monde GNU-Linux <|> netbook
13 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[88:91]] => Je conserve cependant Ubuntu sur mon netbook et je conseille toujours cette distribution - qui reste excellente - aux nouveaux arrivants dans le monde GNU-Linux <|>  -  => suggestions : [' – ', ' — ', ' − ']
13 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[111:114]] => Je conserve cependant Ubuntu sur mon netbook et je conseille toujours cette distribution - qui reste excellente - aux nouveaux arrivants dans le monde GNU-Linux <|>  -  => suggestions : [' – ', ' — ', ' − ']

15 Accord de nombre erroné : « configuration » devrait être au pluriel. [[10:23]] => ===== Mes configuration ===== <|> configuration => suggestions : ['configurations']

17 Mot inconnu : Desktop [[5:12]] => ==== Desktop ==== <|> desktop

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']
21 Mot inconnu : core [[10:14]] =>   * Intel core 2 6420 sur ASUS P5N-E SLI / 6Go RAM DDR <|> core
21 Écriture épicène. Utilisez un point médian. [[31:36]] =>   * Intel core 2 6420 sur ASUS P5N-E SLI / 6Go RAM DDR <|> p5n-e => suggestions : ['P5N·E']
21 Mot inconnu : P5N-E [[31:36]] =>   * Intel core 2 6420 sur ASUS P5N-E SLI / 6Go RAM DDR <|> p5n-e
21 Mot inconnu : SLI [[37:40]] =>   * Intel core 2 6420 sur ASUS P5N-E SLI / 6Go RAM DDR <|> sli
21 Mot inconnu : DDR [[51:54]] =>   * Intel core 2 6420 sur ASUS P5N-E SLI / 6Go RAM DDR <|> ddr
22 Mot inconnu : GTS [[35:38]] =>   * Carte graphique NVIDIA GeForce GTS 450 <|> gts
23 Mot inconnu : raptor [[19:25]] =>   * Disque système raptor sur SATA <|> raptor
23 Mot inconnu : SATA [[30:34]] =>   * Disque système raptor sur SATA <|> sata
24 Mot inconnu : SATA [[31:35]] =>   * Disques secondaires IDE et SATA <|> sata
25 Mot inconnu : Illuminated [[21:32]] =>   * Clavier Logitech Illuminated Keyboard (je recommande cet excellent produit !) <|> illuminated
25 Mot inconnu : Keyboard [[33:41]] =>   * Clavier Logitech Illuminated Keyboard (je recommande cet excellent produit !) <|> keyboard
26 Mot inconnu : Trackball [[4:13]] =>   * Trackball Logitech <|> trackball
27 Mot inconnu : Philips [[11:18]] =>   * Webcam Philips toucam fun II <|> philips
27 Mot inconnu : toucam [[19:25]] =>   * Webcam Philips toucam fun II <|> toucam
28 Mot inconnu : Ecran [[4:9]] =>   * Ecran Samsung T240 <|> ecran
28 Mot inconnu : T240 [[18:22]] =>   * Ecran Samsung T240 <|> t240

31 Mot inconnu : Netbook [[5:12]] => ==== Netbook ==== <|> netbook
35 Mot inconnu : EeePc [[9:14]] =>   * Asus EeePc 1000H <|> eeepc
