
24 Mot inconnu : oN [[0:2]] => oN VOIT PAS LA toc <|> on
24 Accord de genre erroné : « toc » est masculin. [[12:14]] => oN VOIT PAS LA toc <|> la => suggestions : None
24 Accord de genre erroné : « LA » est un déterminant féminin. [[15:18]] => oN VOIT PAS LA toc <|> toc => suggestions : None

29 Accord de genre erroné : « TOC » est masculin. [[29:31]] => c'est au troisième titre que la TOC fonctionne, c'est quoi la TOC  <|> la => suggestions : None
29 Accord de genre erroné : « la » est un déterminant féminin. [[32:35]] => c'est au troisième titre que la TOC fonctionne, c'est quoi la TOC  <|> toc => suggestions : None
29 Accord de genre erroné : « TOC » est masculin. [[59:61]] => c'est au troisième titre que la TOC fonctionne, c'est quoi la TOC  <|> la => suggestions : None
29 Accord de genre erroné : « la » est un déterminant féminin. [[62:65]] => c'est au troisième titre que la TOC fonctionne, c'est quoi la TOC  <|> toc => suggestions : None
29 Espace(s) en fin de ligne à supprimer. [[65:66]] => c'est au troisième titre que la TOC fonctionne, c'est quoi la TOC  <|>   => suggestions : None

31 Incohérence avec “je” : “test” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[3:7]] => je test l'enregistrement <|> test => suggestions : None

33 Incohérence avec “je” : “test” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[3:7]] => je test l'enregistrement d'une grossssse modification pour voir si ca génère une erreur <|> test => suggestions : None
33 Mot inconnu : grossssse [[31:40]] => je test l'enregistrement d'une grossssse modification pour voir si ca génère une erreur <|> grossssse
33 Mot inconnu : ca [[67:69]] => je test l'enregistrement d'une grossssse modification pour voir si ca génère une erreur <|> ca

34 Incohérence avec “je” : “test” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[3:7]] => je test l'enregistrement d'une grossssse modification pour voir si ca génère une erreur <|> test => suggestions : None
34 Mot inconnu : grossssse [[31:40]] => je test l'enregistrement d'une grossssse modification pour voir si ca génère une erreur <|> grossssse
34 Mot inconnu : ca [[67:69]] => je test l'enregistrement d'une grossssse modification pour voir si ca génère une erreur <|> ca

35 Incohérence avec “je” : “test” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[3:7]] => je test l'enregistrement d'une grossssse modification pour voir si ca génère une erreur <|> test => suggestions : None
35 Mot inconnu : grossssse [[31:40]] => je test l'enregistrement d'une grossssse modification pour voir si ca génère une erreur <|> grossssse
35 Mot inconnu : ca [[67:69]] => je test l'enregistrement d'une grossssse modification pour voir si ca génère une erreur <|> ca

36 Incohérence avec “je” : “test” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[3:7]] => je test l'enregistrement d'une grossssse modification pour voir si ca génère une erreur <|> test => suggestions : None
36 Mot inconnu : grossssse [[31:40]] => je test l'enregistrement d'une grossssse modification pour voir si ca génère une erreur <|> grossssse
36 Mot inconnu : ca [[67:69]] => je test l'enregistrement d'une grossssse modification pour voir si ca génère une erreur <|> ca

37 Incohérence avec “je” : “test” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[3:7]] => je test l'enregistrement d'une grossssse modification pour voir si ca génère une erreur <|> test => suggestions : None
37 Mot inconnu : grossssse [[31:40]] => je test l'enregistrement d'une grossssse modification pour voir si ca génère une erreur <|> grossssse
37 Mot inconnu : ca [[67:69]] => je test l'enregistrement d'une grossssse modification pour voir si ca génère une erreur <|> ca
