1 Mot inconnu : Elringer [[7:15]] => ====== Elringer ====== <|> elringer

4 Mot inconnu : Email [[0:5]] => Email : elringer@gmail.com <|> email

10 Incohérence probable avec “ai” : “pratiquer” n’est pas un participe passé. [[54:63]] => <del>Nouvel utilisateur d'Ubuntu</del>, j'ai beaucoup pratiquer sur les <|> pratiquer => suggestions : ['pratiqué']

11 Mot inconnu : billou [[17:23]] => différents OS de billou avant de me lasser d'un Vista poussif.  <|> billou
11 Mot inconnu : Vista [[48:53]] => différents OS de billou avant de me lasser d'un Vista poussif.  <|> vista
11 Espace(s) en fin de ligne à supprimer. [[62:63]] => différents OS de billou avant de me lasser d'un Vista poussif.  <|>   => suggestions : ['']

12 Incohérence probable avec “ai” : “essayer” n’est pas un participe passé. [[5:12]] => j'ai essayer plusieur distrib de linux avant de m'arrêter sur Ubuntu. <|> essayer => suggestions : ['essayé']
12 Mot inconnu : plusieur [[13:21]] => j'ai essayer plusieur distrib de linux avant de m'arrêter sur Ubuntu. <|> plusieur
12 Mot inconnu : distrib [[22:29]] => j'ai essayer plusieur distrib de linux avant de m'arrêter sur Ubuntu. <|> distrib

14 Mot inconnu : objectivitée [[27:39]] => Autant vous dire, en toute objectivitée, que mise à part pour le jeux Ubuntu est meilleur partout ! <|> objectivitée
14 Accord de nombre erroné : « jeux » est au pluriel. [[62:64]] => Autant vous dire, en toute objectivitée, que mise à part pour le jeux Ubuntu est meilleur partout ! <|> le => suggestions : ['les']
14 Accord de nombre erroné : « jeux » devrait être au singulier. [[65:69]] => Autant vous dire, en toute objectivitée, que mise à part pour le jeux Ubuntu est meilleur partout ! <|> jeux => suggestions : ['jeu']
