1 Mot inconnu : Costello22 [[7:17]] => ====== Costello22 ====== <|> costello22

2 Mot inconnu : NEDELEC [[6:13]] => Nom	**NEDELEC**\\ <|> nedelec
6 Espace(s) en fin de ligne à supprimer. [[126:127]] => Distribution testée	**ubuntu 9.04** **9.10** **10.04 **10.10 **11.04 **11.10 **12.04 **12.10 **13.04 **13.10 **14.04 **14.10\\  <|>   => suggestions : ['']
10 Typographie : points de suspension. Utilisez le caractère dédié. [[130:133]] => Je suis passé sur Ubuntu à l'été 2009 après un plantage de mon windows (virus).\\ Ce fut presque immédiatement une divine surprise... Système plus intuitif, plus performant, plus sur, plus réactif.... <|> ... => suggestions : ['…']
10 Typographie : points de suspension. Utilisez le caractère dédié. [[196:200]] => Je suis passé sur Ubuntu à l'été 2009 après un plantage de mon windows (virus).\\ Ce fut presque immédiatement une divine surprise... Système plus intuitif, plus performant, plus sur, plus réactif.... <|> .... => suggestions : ['…']

13 Confusion probable. Être près de (faire) quelque chose. Prêt à faire quelque chose. [[40:44]] => Bref, vous l'aurez compris, je suis pas prêt de repasser sous Windows et je suis devenu en quelques mois un inconditionnel d'Ubuntu ! <|> prêt => suggestions : ['près']

21 Espace(s) surnuméraire(s) à supprimer. [[23:41]] => |              ^ Marque                  ^ Remarques          ^ <|>                    => suggestions : [' ']
21 Espace(s) surnuméraire(s) à supprimer. [[52:62]] => |              ^ Marque                  ^ Remarques          ^ <|>            => suggestions : [' ']

22 Espace(s) surnuméraire(s) à supprimer. [[12:18]] => ^ Ordinateur      | Intel NUC Core i5-3427U CPU @ 1.80GHz × 4           | Année 2013    | <|>        => suggestions : [' ']
22 Mot inconnu : NUC [[26:29]] => ^ Ordinateur      | Intel NUC Core i5-3427U CPU @ 1.80GHz × 4           | Année 2013    | <|> nuc
22 Mot inconnu : Core [[30:34]] => ^ Ordinateur      | Intel NUC Core i5-3427U CPU @ 1.80GHz × 4           | Année 2013    | <|> core
22 Mot inconnu : i5-3427U [[35:43]] => ^ Ordinateur      | Intel NUC Core i5-3427U CPU @ 1.80GHz × 4           | Année 2013    | <|> i5-3427u
22 Espace(s) surnuméraire(s) à supprimer. [[61:72]] => ^ Ordinateur      | Intel NUC Core i5-3427U CPU @ 1.80GHz × 4           | Année 2013    | <|>             => suggestions : [' ']
22 Espace(s) surnuméraire(s) à supprimer. [[84:88]] => ^ Ordinateur      | Intel NUC Core i5-3427U CPU @ 1.80GHz × 4           | Année 2013    | <|>      => suggestions : [' ']

23 Mot inconnu : Ecran [[2:7]] => ^ Ecran      | LCD Samsung 24 pouces |                | <|> ecran
23 Espace(s) surnuméraire(s) à supprimer. [[7:13]] => ^ Ecran      | LCD Samsung 24 pouces |                | <|>        => suggestions : [' ']

24 Espace(s) surnuméraire(s) à supprimer. [[12:18]] => ^ Imprimante      | HP Photosmart C4480           | Allinone    | <|>        => suggestions : [' ']
24 Mot inconnu : Photosmart [[23:33]] => ^ Imprimante      | HP Photosmart C4480           | Allinone    | <|> photosmart
24 Mot inconnu : C4480 [[34:39]] => ^ Imprimante      | HP Photosmart C4480           | Allinone    | <|> c4480
24 Espace(s) surnuméraire(s) à supprimer. [[39:50]] => ^ Imprimante      | HP Photosmart C4480           | Allinone    | <|>             => suggestions : [' ']
24 Mot inconnu : Allinone [[52:60]] => ^ Imprimante      | HP Photosmart C4480           | Allinone    | <|> allinone
24 Espace(s) surnuméraire(s) à supprimer. [[60:64]] => ^ Imprimante      | HP Photosmart C4480           | Allinone    | <|>      => suggestions : [' ']

25 Espace(s) surnuméraire(s) à supprimer. [[14:20]] => ^ Webcam/micro      | Logitech C200           | Détecté automatiquement, sans problèmes sur Skype   | <|>        => suggestions : [' ']
25 Mot inconnu : C200 [[31:35]] => ^ Webcam/micro      | Logitech C200           | Détecté automatiquement, sans problèmes sur Skype   | <|> c200
25 Espace(s) surnuméraire(s) à supprimer. [[35:46]] => ^ Webcam/micro      | Logitech C200           | Détecté automatiquement, sans problèmes sur Skype   | <|>             => suggestions : [' ']
25 Espace(s) surnuméraire(s) à supprimer. [[97:100]] => ^ Webcam/micro      | Logitech C200           | Détecté automatiquement, sans problèmes sur Skype   | <|>     => suggestions : [' ']
