1 Mot inconnu : gabriel21 [[7:16]] => ====== gabriel21 ====== <|> gabriel21

2 Mot inconnu : Jammot [[5:11]] => |Nom|Jammot| <|> jammot
9 Guillemets typographiques ouvrants. [[141:142]] => Suite à l'achat d'un nouveau PC, formaté Vista, suite à l'incompatibilité de plusieurs logiciels et devant la réponse des fabricants qui fut "acheter la nouvelle version du logiciel, compatible Vista", j'ai décidé de me mettre à Linux. Ayant d'abord testé Débian, que j'ai abandonné n'arrivant pas à mettre en place les pilotes vidéo propriétaires afin d'avoir, l'OpenGL, j'ai découvert ubuntu via micro revue Spécial Linux n°18, que j'ai adopté immédiatement grâce à l'installation rapide et sans problèmes des pilotes graphiques. <|> " => suggestions : « “
9 Après “être”, le verbe ne devrait pas être à l’infinitif. [[142:149]] => Suite à l'achat d'un nouveau PC, formaté Vista, suite à l'incompatibilité de plusieurs logiciels et devant la réponse des fabricants qui fut "acheter la nouvelle version du logiciel, compatible Vista", j'ai décidé de me mettre à Linux. Ayant d'abord testé Débian, que j'ai abandonné n'arrivant pas à mettre en place les pilotes vidéo propriétaires afin d'avoir, l'OpenGL, j'ai découvert ubuntu via micro revue Spécial Linux n°18, que j'ai adopté immédiatement grâce à l'installation rapide et sans problèmes des pilotes graphiques. <|> acheter => suggestions : achetéachetéeachetéesachetés
9 Guillemets typographiques fermants. [[199:200]] => Suite à l'achat d'un nouveau PC, formaté Vista, suite à l'incompatibilité de plusieurs logiciels et devant la réponse des fabricants qui fut "acheter la nouvelle version du logiciel, compatible Vista", j'ai décidé de me mettre à Linux. Ayant d'abord testé Débian, que j'ai abandonné n'arrivant pas à mettre en place les pilotes vidéo propriétaires afin d'avoir, l'OpenGL, j'ai découvert ubuntu via micro revue Spécial Linux n°18, que j'ai adopté immédiatement grâce à l'installation rapide et sans problèmes des pilotes graphiques. <|> " => suggestions :  »”
9 Mot inconnu : Débian [[256:262]] => Suite à l'achat d'un nouveau PC, formaté Vista, suite à l'incompatibilité de plusieurs logiciels et devant la réponse des fabricants qui fut "acheter la nouvelle version du logiciel, compatible Vista", j'ai décidé de me mettre à Linux. Ayant d'abord testé Débian, que j'ai abandonné n'arrivant pas à mettre en place les pilotes vidéo propriétaires afin d'avoir, l'OpenGL, j'ai découvert ubuntu via micro revue Spécial Linux n°18, que j'ai adopté immédiatement grâce à l'installation rapide et sans problèmes des pilotes graphiques. <|> débian

12 Si “PC” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[0:4]] => 1 PC Fixe : <|> 1 pc => suggestions : 1 PC

13 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Intel Dual Core 2 à 2.6 Ghz <|> -  => suggestions : – — 
13 Mot inconnu : Core [[13:17]] => - Intel Dual Core 2 à 2.6 Ghz <|> core
13 Mot inconnu : Ghz [[26:29]] => - Intel Dual Core 2 à 2.6 Ghz <|> ghz

15 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - 4 Giga de RAM <|> -  => suggestions : – — 
15 Mot inconnu : Giga [[4:8]] => - 4 Giga de RAM <|> giga

17 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Nvidia 8500 GTX <|> -  => suggestions : – — 
17 Mot inconnu : GTX [[14:17]] => - Nvidia 8500 GTX <|> gtx

19 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Disque Dur 500 Giga <|> -  => suggestions : – — 
19 Mot inconnu : Giga [[17:21]] => - Disque Dur 500 Giga <|> giga

